"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0031526","GO:0031526","brush border membrane","10/628","58/19559",1.40807234206516e-05,0.00702628098690513,0.00661052910064274,"LRP2/ATP8B1/SLC5A1/FOLR1/CD36/SLC5A6/SLC3A1/AMN/CA4/AQP1",10
"GO:0005903","GO:0005903","brush border","13/628","106/19559",3.50410341145503e-05,0.00874273801158029,0.00822542169215233,"LRP2/ATP8B1/SLC5A1/MYH9/FOLR1/ACTN4/CD36/SLC5A6/SLC3A1/AMN/CA4/DCXR/AQP1",13
"GO:0098862","GO:0098862","cluster of actin-based cell projections","16/628","159/19559",5.4925756162605e-05,0.00913598410837997,0.00859539903456907,"LRP2/ATP8B1/SLC5A1/MYH9/FOLR1/ACTN4/CD36/SLC5A6/SLC3A1/DCDC2/AMN/CA4/DCXR/ADCY6/TPRN/AQP1",16
