"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0019814","GO:0019814","immunoglobulin complex","22/575","163/19559",2.65958011282107e-09,1.20478979110794e-06,1.09182762526339e-06,"CD79A/IGLV1-36/IGLV3-27/IGLV3-25/IGLV2-14/IGLV2-11/IGLV3-9/IGLC2/IGHG3/IGHD/IGHV6-1/IGHV3-23/IGLC6/IGHV3-64/IGKV3D-15/IGKV1D-8/IGKV3-20/IGKV1-17/IGKV1-8/IGKV1-16/IGKV2D-24/IGKV2-29",22
"GO:0072562","GO:0072562","blood microparticle","20/575","148/19559",1.37539114136868e-08,3.11526093520007e-06,2.82317129017782e-06,"TF/TGFB1/AGT/STOM/APOA2/ACSM1/KRT1/ANGPTL4/HBA2/IGLV3-25/IGLC2/IGHG3/IGHD/IGHV3-23/CLIC1/C4B/ORM2/ORM1/IGKV3-20/IGKV1-17",20
"GO:0009897","GO:0009897","external side of plasma membrane","31/575","417/19559",2.42091531774075e-06,0.000365558212978853,0.000331283148743471,"RTN4R/TF/CD79A/GHR/ECE1/CNTFR/IL13RA1/ENPEP/KIT/FCER1G/ACE/ABCG1/ANTXR2/ITGA2/FOLR2/B2M/ALCAM/SELL/SERPINA5/CSF2RA/HLA-G/HLA-F/IGLC2/IGHG3/IGHD/IGHV6-1/IGHV3-23/ITGA1/IGLC6/IGHV3-64/TRGC2",31
"GO:0042599","GO:0042599","lamellar body","5/575","17/19559",9.95705459358763e-05,0.00979240113531171,0.00887425686713504,"SFTPA1/SMPD1/KLK5/KLK7/KRTDAP",5
"GO:0005938","GO:0005938","cell cortex","22/575","305/19559",0.000108083897740747,0.00979240113531171,0.00887425686713504,"CTTN/CORO1C/BIN2/CALD1/PARD6B/RAC2/TMOD1/SHROOM3/ADD3/EPS8/FABP1/RHOBTB3/CFL2/KRT19/RND1/PPFIA3/FAM110C/FMNL1/FLNA/ASPH/SPIRE2/MYZAP",22
